arch,cycles,throughtput,latency,power,efficiency,compute density,tech node,freq,compute area
2060S,9671,39.90,13140,55.07,0.72,224.16,12,1470,178
GV100,9653,30.76,17046,61.66,0.50,107.93,12,1132,285
TITANX,9898,37.57,13957,53.25,0.71,156.54,16,1417,240
CGRA,43590,12.03,43590,19.20,0.63,235.88,28,1000,51
Xeon,870673,2.11,248764,34.18,0.06,52.75,22,3500,40
